Tick,Step,AnimalId,BioEnergy,Elevation,Rule,0_Position,1_Position,ID
0,0,80,0,9,,9.0,20.0,57d0ee1b-a76e-4a34-bd7f-91ea6feb67bc
0,0,33,0,0,,0.0,46.0,7e799986-eb59-4f1a-b05d-4a587e0dbb60
0,0,20,0,46,,46.0,30.0,05402b1c-64ad-4fa9-83a5-b18bb6308053
0,0,9,0,8,,8.0,6.0,dae6339b-58cc-453c-98b3-36dda9c1e29c
0,0,35,0,12,,12.0,4.0,0a87ffed-58ae-4860-9b5c-841727dc0cb2
0,0,22,0,36,,36.0,24.0,57fef91d-56cb-4e61-9cd3-e936e6e89d6b
0,0,73,0,31,,31.0,51.0,033c2f8d-984c-476c-a9ef-01175a6f96b6
0,0,65,0,9,,9.0,27.0,daa02ece-08e5-42e9-809f-5e2d07a87ecc
0,0,30,0,17,,17.0,49.0,b4976d00-afd9-4fad-a94c-8e604e8a25ee
0,0,51,0,5,,5.0,30.0,9c8a1749-8f4e-46c6-a606-263481d29e2e
0,0,68,0,6,,6.0,29.0,a6591fa9-85f8-405f-b155-b1d503900fbb
0,0,77,0,10,,10.0,34.0,c073049b-7a60-4c24-893b-ef142a2cbc33
0,0,7,0,27,,27.0,36.0,b035c8ee-a170-45a5-8657-ebc8aae51c57
0,0,67,0,33,,33.0,49.0,f11f2da0-e413-40ce-a6ca-5bcb6c854111
0,0,40,0,9,,9.0,7.0,241c9f6f-07ba-4946-95c4-2d72740f7195
0,0,60,0,10,,10.0,28.0,d8995e28-01d5-4f8c-b97b-59d2395129df
0,0,39,0,29,,29.0,28.0,ac8091eb-db5e-4902-b1ae-2b535929a9d8
0,0,6,0,33,,33.0,30.0,c5b9a317-bd9e-4172-bfb4-b403ee49c241
0,0,61,0,23,,23.0,4.0,4ca29a87-ae27-4a35-a490-aa8ab1656338
0,0,23,0,19,,19.0,51.0,8d903cd6-1ee7-43b9-a7cd-20f4ec74c6eb
0,0,42,0,15,,15.0,42.0,4d331d8c-1bae-408b-adb3-36850963bef8
0,0,2,0,7,,7.0,4.0,daf87346-27b2-48f3-b793-9ef5497925d5
0,0,90,0,38,,38.0,33.0,2cc1cc66-421c-4532-ae24-e89c69ecbc7b
0,0,94,0,40,,40.0,17.0,8d4418bc-fdfe-4687-a6b1-5fc5758095ee
0,0,14,0,32,,32.0,17.0,b499cb2f-ab33-420a-bb1d-c0899e6bf291
0,0,44,0,32,,32.0,49.0,8a218734-015f-488e-b83a-ea45b2641034
0,0,46,0,35,,35.0,29.0,868b0c0d-136e-4c7b-a944-4740d4482c3b
0,0,26,0,34,,34.0,19.0,6b88476e-1524-43e5-a67d-6d1f01eaa93c
0,0,27,0,19,,19.0,34.0,8c198042-776c-4f54-a5a5-467037fda363
0,0,8,0,28,,28.0,1.0,9b885db9-4d7c-4e2f-8d5f-058f26186e17
0,0,1,0,18,,18.0,28.0,c68567e2-a467-44a3-842a-276f70436b05
0,0,3,0,34,,34.0,20.0,346af35b-4cb4-4827-91c1-2734687ae42f
0,0,32,0,17,,17.0,15.0,b02dc006-cff8-4551-9491-7b3e7f937e80
0,0,89,0,33,,33.0,26.0,2151ef5a-02ff-4848-997e-3ecb67603a15
0,0,53,0,39,,39.0,19.0,4630766e-d7f5-4ac9-8c16-e10b22aaa614
0,0,59,0,44,,44.0,30.0,92c7a759-7029-4e38-b21b-df72b91274ff
0,0,10,0,22,,22.0,21.0,23fa3df4-f97d-4050-9d89-a1117ef7a0e8
0,0,57,0,45,,45.0,22.0,3cded0d6-d18b-4000-8a4b-6bf03c7ab23f
0,0,92,0,11,,11.0,42.0,8291e7f5-c023-43a0-b26d-69e05682e054
0,0,87,0,31,,31.0,20.0,4733ba18-ea9b-4f80-9eae-788a8a2ed4de
0,0,62,0,26,,26.0,28.0,b2020f21-11af-4669-a704-5e7c9d69f935
0,0,5,0,24,,24.0,25.0,d1c70f8d-e4ea-4b37-aeaf-ecd3f427d88d
0,0,54,0,34,,34.0,9.0,9e42a025-85f8-4871-b6ac-c3a1662c313c
0,0,0,0,10,,10.0,22.0,92019625-15d4-421a-9c90-e028dec1843a
0,0,93,0,25,,25.0,14.0,ef22e0ab-315d-4378-8c4d-c13c510ac038
0,0,49,0,6,,6.0,21.0,a7d9c228-dcb5-45ff-898a-977ee7f35a66
0,0,19,0,20,,20.0,13.0,bff2dbc7-a526-41c5-8bc6-cb869b1228a0
0,0,63,0,34,,34.0,21.0,d54c867c-b098-41a3-bbbb-21b5143e8479
0,0,64,0,1,,1.0,10.0,f93c9db0-1da3-4a5d-8aab-0060da84daf2
0,0,58,0,5,,5.0,41.0,4e5ad9ec-52d5-42b0-bae0-5a8943976e08
0,0,52,0,44,,44.0,33.0,c9f4548e-9c35-4213-b3ac-bb0825c7d85a
0,0,56,0,7,,7.0,20.0,a7d87359-6a14-4f48-a3a5-b6d1a823d1be
0,0,78,0,33,,33.0,25.0,b5db708e-4887-4245-949e-b3eb59bcadf3
0,0,74,0,30,,30.0,31.0,6e4665df-f9ab-4d01-a505-2c8bf33f8a97
0,0,79,0,25,,25.0,11.0,7363e54f-161e-4de6-84e6-2b06aab4fc10
0,0,41,0,47,,47.0,8.0,947dc6b6-b3f2-4cf9-8a20-a90d3f47471b
0,0,25,0,36,,36.0,6.0,e6ac2f04-e4a2-45a7-9f3b-f277bb93c79c
0,0,28,0,20,,20.0,3.0,d9a56c31-6c8f-433e-81b7-384666891b3d
0,0,70,0,33,,33.0,21.0,fbdce82f-609e-4c6d-a44d-7ac01417c0bd
0,0,48,0,19,,19.0,21.0,af07dad6-da8c-4ac7-a910-9ab20101058a
0,0,69,0,6,,6.0,42.0,6b15c58e-5d74-456d-aa92-5251670dfd86
0,0,45,0,37,,37.0,16.0,afd41d6f-fb92-4922-9ff7-86438aaa8afd
0,0,38,0,10,,10.0,35.0,3d90c016-ec69-44ad-972b-b350ed410ba0
0,0,72,0,3,,3.0,31.0,852541a8-3d73-4f3c-bfe9-a86a41eb9801
0,0,75,0,35,,35.0,34.0,dd758c15-ea5f-4820-8918-e86576ea0cc2
0,0,4,0,19,,19.0,11.0,c011c702-75cc-4ce4-b94f-c4e323492d7b
0,0,29,0,2,,2.0,37.0,0970974a-591f-4712-8ef8-71f9291b81bd
0,0,84,0,26,,26.0,25.0,97be8a86-85b0-4212-9e29-93e4d0c21414
0,0,31,0,14,,14.0,38.0,60ea86e0-da08-4dd8-82eb-6d1ddf4d7c29
0,0,82,0,14,,14.0,39.0,3ffa6c44-4b23-48ee-b2bb-7b71ca806b82
0,0,15,0,36,,36.0,48.0,80d9c517-632c-4451-9ff3-9acfcb9c9e50
0,0,36,0,49,,49.0,35.0,8b9b25d8-66aa-426c-addd-49ed952cd374
0,0,11,0,13,,13.0,42.0,1a349613-87ee-435b-9eba-06f35bad910d
0,0,88,0,27,,27.0,49.0,33ba0209-fc15-4988-989b-25e9c88396c1
0,0,18,0,32,,32.0,41.0,41cbef7e-6b03-47be-be2d-a0248e3c3e79
0,0,24,0,37,,37.0,30.0,1ca3c5ff-a622-428f-b555-e4d884ebd782
0,0,91,0,15,,15.0,8.0,80e9743f-ebe8-40ed-992d-8c1431b59aea
0,0,12,0,38,,38.0,31.0,80acb340-7382-4c25-ae74-76eff867c654
0,0,95,0,15,,15.0,26.0,03869c87-5a57-4ac7-8c0b-fe2b232e9fa6
0,0,55,0,36,,36.0,36.0,19a092e7-f786-4de8-a8ab-698cb249b556
0,0,16,0,31,,31.0,49.0,37b51050-4b3a-4df6-8bc7-086589c6efe5
0,0,34,0,7,,7.0,40.0,94aa0028-2d90-4d39-ac69-7120028fe129
0,0,66,0,31,,31.0,44.0,d30ce0c8-50be-4e33-8581-c0831a461a7e
0,0,50,0,29,,29.0,28.0,1e2bb17e-b66a-41d5-8245-64da2ac1e81a
0,0,47,0,37,,37.0,23.0,dda414ee-9bf2-43eb-9c92-ebeb5c382c6e
0,0,86,0,37,,37.0,33.0,70bfbdf1-21e8-4ddb-9b66-64bfd86f0270
0,0,43,0,41,,41.0,13.0,cc8db60e-f63b-4a3b-9480-b18072afd323
0,0,37,0,37,,37.0,28.0,faffb04b-c36c-453e-bb21-b4f8f906d2c0
0,0,83,0,36,,36.0,12.0,f0a5fc2b-9ab2-4767-a53f-5760b86fe461
0,0,17,0,30,,30.0,44.0,19a64d66-ed1a-4cc1-9623-4ac28ea37751
0,0,76,0,46,,46.0,32.0,363cad0d-1ca6-405a-a644-b4c59fe91411
0,0,81,0,43,,43.0,6.0,636e6b70-52c1-4228-99f5-86d5f62722f6
0,0,13,0,42,,42.0,22.0,09c42c13-37a3-4796-a8bc-3b4e0f850f6a
0,0,71,0,1,,1.0,49.0,10b53bee-d6b6-48d3-9b3c-aad2e05d3ba3
0,0,21,0,10,,10.0,17.0,b2f4d4be-787f-448b-ac74-6d27ed7468e3
0,0,85,0,40,,40.0,5.0,a328002a-490c-486a-b68b-3a05334e6cbb
1,1,80,9,9,,9.0,20.0,57d0ee1b-a76e-4a34-bd7f-91ea6feb67bc
1,1,33,1,1,,1.0,46.0,7e799986-eb59-4f1a-b05d-4a587e0dbb60
1,1,20,46,46,,46.0,31.0,05402b1c-64ad-4fa9-83a5-b18bb6308053
1,1,9,8,8,,8.0,7.0,dae6339b-58cc-453c-98b3-36dda9c1e29c
1,1,35,13,13,,13.0,4.0,0a87ffed-58ae-4860-9b5c-841727dc0cb2
1,1,22,36,36,,36.0,25.0,57fef91d-56cb-4e61-9cd3-e936e6e89d6b
1,1,73,32,32,,32.0,51.0,033c2f8d-984c-476c-a9ef-01175a6f96b6
1,1,65,10,10,,10.0,27.0,daa02ece-08e5-42e9-809f-5e2d07a87ecc
1,1,30,18,18,,18.0,49.0,b4976d00-afd9-4fad-a94c-8e604e8a25ee
1,1,51,6,6,,6.0,30.0,9c8a1749-8f4e-46c6-a606-263481d29e2e
1,1,68,7,7,,7.0,29.0,a6591fa9-85f8-405f-b155-b1d503900fbb
