AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
0,0,25,23,21,23,21,19,22,20,18,21,0,0,0.0,0,31,13
1,0,2,3,4,2,3,4,0,0,0,3,0,0,0.0,0,9,0
2,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,0,46,6
3,0,19,17,15,18,16,14,17,15,13,16,0,0,0.0,0,32,10
4,0,8,6,5,8,6,5,0,0,0,6,0,0,0.0,0,36,0
5,0,25,24,23,27,26,25,29,27,26,26,0,0,0.0,0,37,29
6,0,23,22,21,25,24,23,26,25,25,24,0,0,0.0,0,39,29
7,0,0,0,0,1,1,1,1,1,2,1,0,0,0.0,0,6,49
8,0,15,18,20,15,17,20,0,0,0,17,0,0,0.0,0,18,0
9,0,9,11,12,11,12,13,13,14,15,12,0,0,0.0,0,11,36
10,0,38,36,34,37,35,33,36,34,32,35,0,0,0.0,0,33,23
11,0,25,25,24,25,25,24,26,25,25,25,0,0,0.0,0,25,45
12,0,7,6,5,8,7,7,9,9,8,7,0,0,0.0,0,39,38
13,0,38,36,34,38,36,34,37,35,33,36,0,0,0.0,0,33,24
14,0,0,25,25,0,24,24,0,23,23,24,0,0,0.0,0,0,23
15,0,27,26,25,29,27,26,30,29,28,27,0,0,0.0,0,37,28
16,0,27,27,26,26,26,25,26,26,25,26,0,0,0.0,0,25,8
17,0,20,20,20,22,22,22,23,23,23,22,0,0,0.0,0,3,29
18,0,16,15,15,13,13,13,11,11,11,13,0,0,0.0,0,47,17
19,0,30,29,29,31,31,30,32,32,31,31,0,0,0.0,0,25,37
20,0,2,2,3,2,2,3,2,2,3,2,0,0,0.0,0,8,46
21,0,16,18,20,15,18,20,15,18,20,18,0,0,0.0,0,18,2
22,0,21,22,23,19,20,21,17,18,19,20,0,0,0.0,0,11,18
23,0,25,25,25,25,25,25,24,24,24,25,0,0,0.0,0,48,24
24,0,7,7,7,9,8,8,11,10,10,8,0,0,0.0,0,42,36
25,0,9,11,13,9,11,13,8,10,12,11,0,0,0.0,0,14,8
26,0,23,24,25,21,22,23,19,20,21,22,0,0,0.0,0,11,19
27,0,25,25,25,24,24,24,23,23,23,24,0,0,0.0,0,46,23
28,0,19,21,23,18,20,22,17,19,21,20,0,0,0.0,0,18,10
29,0,9,7,6,8,7,5,7,6,5,7,0,0,0.0,0,37,9
30,0,37,35,33,39,37,34,40,38,36,37,0,0,0.0,0,31,29
31,0,7,5,4,6,5,4,6,5,4,5,0,0,0.0,0,37,5
32,0,36,38,40,37,39,41,38,40,42,39,0,0,0.0,0,17,27
33,0,50,49,48,50,49,48,50,49,48,49,0,0,0.0,0,26,25
34,0,23,23,23,24,24,24,25,25,25,24,0,0,0.0,0,45,27
35,0,22,22,22,23,23,23,24,24,24,23,0,0,0.0,0,3,28
36,0,3,2,2,3,2,1,3,2,1,2,0,0,0.0,0,40,1
37,0,0,1,1,0,1,1,1,1,1,1,0,0,0.0,0,4,48
38,0,34,32,31,33,31,30,32,30,29,31,0,0,0.0,0,35,23
39,0,26,26,26,25,26,26,25,25,25,26,0,0,0.0,0,6,24
40,0,26,27,29,25,26,27,23,24,25,26,0,0,0.0,0,11,21
41,0,24,22,21,26,25,23,29,27,25,25,0,0,0.0,0,34,32
42,0,3,3,3,4,4,4,5,5,5,4,0,0,0.0,0,4,39
43,0,25,25,26,26,26,27,26,26,27,26,0,0,0.0,0,7,26
44,0,40,39,37,42,41,39,44,43,41,41,0,0,0.0,0,28,30
45,0,48,49,49,47,48,48,45,46,46,48,0,0,0.0,0,23,22
46,0,10,9,9,9,8,7,7,7,6,8,0,0,0.0,0,40,13
47,0,29,29,27,28,28,26,27,27,25,28,0,0,0.0,0,26,11
48,0,0,4,4,0,5,5,0,6,6,5,0,0,0.0,0,0,38
49,0,23,21,19,22,20,18,21,19,17,20,0,0,0.0,0,31,12
50,0,13,13,14,11,11,12,9,10,10,11,0,0,0.0,0,3,16
51,0,27,25,24,28,26,25,29,27,26,26,0,0,0.0,0,27,39
52,0,10,10,11,8,8,9,7,7,7,8,0,0,0.0,0,6,14
53,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0,46,3
54,0,24,26,29,22,25,27,21,23,25,25,0,0,0.0,0,17,15
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,49,1
56,0,36,34,32,35,33,31,34,32,30,33,0,0,0.0,0,34,23
57,0,35,33,31,34,32,30,32,31,29,32,0,0,0.0,0,34,22
58,0,36,35,34,34,33,32,32,31,30,33,0,0,0.0,0,26,15
59,0,14,15,15,16,17,17,18,19,19,17,0,0,0.0,0,7,32
60,0,4,5,6,4,5,6,4,5,6,5,0,0,0.0,0,11,1
61,0,23,21,20,23,22,20,23,22,20,22,0,0,0.0,0,28,47
62,0,44,44,44,46,46,46,48,48,48,46,0,0,0.0,0,24,29
63,0,28,31,33,31,33,35,33,35,37,33,0,0,0.0,0,17,31
64,0,11,13,15,11,13,16,11,13,16,13,0,0,0.0,0,16,47
65,0,20,18,16,19,17,15,19,17,15,17,0,0,0.0,0,31,9
66,0,3,3,3,3,2,2,2,2,2,2,0,0,0.0,0,44,9
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3
68,0,31,31,31,32,32,32,34,34,34,32,0,0,0.0,0,24,36
69,0,21,19,17,22,20,18,24,22,20,20,0,0,0.0,0,33,35
70,0,31,29,27,28,26,25,26,24,22,26,0,0,0.0,0,33,18
71,0,1,1,2,1,1,2,0,0,0,1,0,0,0.0,0,7,0
72,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,0,3,46
73,0,33,32,31,35,34,32,37,36,34,34,0,0,0.0,0,27,34
74,0,1,1,0,1,1,0,1,1,0,1,0,0,0.0,0,49,6
75,0,2,3,4,2,3,4,2,3,4,3,0,0,0.0,0,9,4
76,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,4
77,0,17,16,15,19,18,17,21,20,19,18,0,0,0.0,0,39,32
78,0,8,8,9,10,10,11,12,12,13,10,0,0,0.0,0,6,35
79,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,0,5,4
80,0,9,9,11,10,11,12,12,13,14,11,0,0,0.0,0,10,36
81,0,23,24,25,23,24,25,23,24,25,24,0,0,0.0,0,22,48
82,0,42,40,38,42,40,38,42,40,38,40,0,0,0.0,0,31,25
83,0,27,27,28,28,28,29,29,29,30,28,0,0,0.0,0,23,39
84,0,32,34,35,34,36,37,37,38,39,36,0,0,0.0,0,21,33
85,0,20,19,19,22,21,21,24,23,23,21,0,0,0.0,0,40,30
86,0,26,28,31,28,31,33,31,33,35,31,0,0,0.0,0,17,32
87,0,10,11,11,8,9,9,7,7,8,9,0,0,0.0,0,7,14
88,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,45,49
89,0,31,28,26,28,26,24,26,24,22,26,0,0,0.0,0,32,17
90,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,0,4,46
91,0,23,22,22,21,20,20,19,18,18,20,0,0,0.0,0,42,20
92,0,32,34,36,32,34,36,31,33,35,34,0,0,0.0,0,14,24
93,0,21,22,24,23,25,26,25,27,29,25,0,0,0.0,0,14,32
94,0,27,25,23,25,23,21,24,22,20,23,0,0,0.0,0,30,13
95,0,29,31,32,27,29,31,25,27,29,29,0,0,0.0,0,19,15
0,1,27,25,22,25,23,21,23,21,19,23,21,2,2.0,2,31,14
1,1,3,4,5,3,4,5,3,4,5,4,3,1,1.0,1,10,1
2,1,2,2,2,1,1,1,1,1,1,1,1,0,0.0,0,45,7
