AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
0,0,0,2,2,0,2,2,0,2,2,2,0,0,0.0,0,0,25
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,35,49
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,44
3,0,8,8,8,10,10,10,13,13,13,10,0,0,0.0,0,24,30
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,40
5,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0,0,30,29
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,38,6
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,30,45
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,12
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,31,40
10,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0,27,47
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,12,5
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,44
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,44,46
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,13,44
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,34
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,48,31
17,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,16,21
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,10,11
19,0,2,2,1,2,1,1,0,0,0,1,0,0,0.0,0,25,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,31,19
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,12,36
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,14
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,20
24,0,2,3,4,2,4,4,2,4,5,4,0,0,0.0,0,23,37
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,17,46
26,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0,28,17
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,49
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,12
29,0,1,1,1,2,2,2,4,4,4,2,0,0,0.0,0,13,27
30,0,1,2,2,1,2,2,1,2,2,2,0,0,0.0,0,23,47
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,15
32,0,1,1,1,3,3,3,4,4,4,3,0,0,0.0,0,37,26
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,36,49
34,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0,21,3
35,0,10,8,7,10,8,6,6,5,4,8,0,0,0.0,0,30,24
36,0,0,0,0,1,1,1,2,3,3,1,0,0,0.0,0,8,27
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,30,30
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,40
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,46,46
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,36,49
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,13,20
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,37
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,4
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45,12
45,0,2,1,1,5,3,3,11,8,7,3,0,0,0.0,0,28,27
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,20,10
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,15,43
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,30,49
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,8
50,0,0,0,0,1,1,1,2,2,2,1,0,0,0.0,0,4,27
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,30
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,10,31
53,0,13,18,34,8,11,19,3,5,9,11,0,0,0.0,0,21,24
