AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
0,0,0.9512195,1.0,0.75609756,0.5609756,0.36585367,0.58536583,0.46341464,0.63414633,0.8780488,15,0,0,0.0,0,24,18
1,0,0.64285713,0.30952382,1.0,1.0,0.52380955,0.0,0.95238096,0.85714287,0.8095238,22,0,0,0.0,0,23,30
2,0,0.73170733,0.6097561,0.63414633,0.8780488,0.46341464,0.9756098,1.0,0.9756098,0.29268292,19,0,0,0.0,0,37,31
3,0,0.6551724,0.51724136,0.62068963,0.9310345,0.41379312,0.6896552,0.51724136,0.0,1.0,12,0,0,0.0,0,36,34
4,0,0.8358209,0.6268657,0.3283582,1.0,0.4477612,0.47761193,0.47761193,0.80597013,0.8507463,30,0,0,0.0,0,7,48
5,0,1.0,0.50877196,0.84210527,0.68421054,0.8947368,0.4385965,0.49122807,0.49122807,0.75438595,51,0,0,0.0,0,36,6
6,0,0.55,0.65,1.0,0.7,1.0,0.0,0.6,0.9,0.8,20,0,0,0.0,0,6,6
7,0,0.71428573,0.6785714,0.75,0.6785714,0.2857143,0.39285713,1.0,0.4642857,0.85714287,8,0,0,0.0,0,8,23
8,0,1.0,0.51428574,0.0,0.7714286,0.4857143,0.0,0.94285715,0.6,0.71428573,17,0,0,0.0,0,25,45
9,0,0.8363636,0.8545455,0.96363634,0.6,1.0,0.74545455,0.56363636,0.74545455,0.72727275,55,0,0,0.0,0,32,26
10,0,0.7761194,1.0,0.76119405,0.9402985,0.9402985,0.8507463,0.67164177,0.74626863,0.53731346,63,0,0,0.0,0,11,36
11,0,0.42857143,0.6785714,1.0,0.60714287,0.2857143,0.9285714,0.85714287,0.60714287,0.42857143,8,0,0,0.0,0,38,45
12,0,0.48333332,0.38333333,0.56666666,0.46666667,0.35,0.73333335,0.6166667,0.46666667,1.0,21,0,0,0.0,0,32,8
13,0,0.5522388,0.47761193,1.0,0.5074627,0.7761194,1.0,0.3432836,0.9402985,0.9402985,52,0,0,0.0,0,10,37
14,0,0.8,0.72,0.78,0.86,0.38,0.8,1.0,0.46,0.9,19,0,0,0.0,0,40,13
