AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
0,0,49,48,48,49,49,48,49,49,48,49,0,0,0.0,0,5,1
1,0,36,36,35,38,38,37,40,40,39,38,0,0,0.0,0,4,16
2,0,26,25,25,25,25,24,25,24,24,25,0,0,0.0,0,3,26
3,0,47,47,47,47,48,48,48,48,48,48,0,0,0.0,0,42,9
4,0,22,22,21,21,21,20,20,19,19,21,0,0,0.0,0,21,38
5,0,30,28,26,29,27,25,27,25,23,27,0,0,0.0,0,16,37
6,0,26,26,26,25,25,25,25,25,25,25,0,0,0.0,0,44,26
7,0,25,25,25,25,25,25,25,25,25,25,0,0,0.0,0,46,25
8,0,12,12,13,10,10,11,8,8,9,10,0,0,0.0,0,23,32
9,0,26,28,30,24,26,28,22,24,25,26,0,0,0.0,0,31,33
10,0,28,30,32,28,30,32,28,30,32,30,0,0,0.0,0,27,44
11,0,12,12,12,14,14,14,16,16,16,14,0,0,0.0,0,22,16
12,0,24,26,28,22,24,25,19,21,23,24,0,0,0.0,0,31,32
13,0,0,0,0,49,49,49,49,49,48,49,0,0,0.0,0,4,49
14,0,44,45,46,44,45,46,0,0,0,45,0,0,0.0,0,35,0
15,0,41,40,38,41,39,37,39,38,36,39,0,0,0.0,0,11,39
16,0,26,25,25,25,25,24,25,24,24,25,0,0,0.0,0,21,44
17,0,44,43,41,43,42,41,42,41,39,42,0,0,0.0,0,9,39
18,0,31,29,27,30,28,25,28,26,24,28,0,0,0.0,0,14,35
19,0,28,26,24,25,24,22,23,21,19,24,0,0,0.0,0,13,32
20,0,31,33,35,32,34,36,33,35,37,34,0,0,0.0,0,31,12
21,0,26,26,26,25,25,25,25,25,25,25,0,0,0.0,0,43,26
22,0,26,27,28,28,29,30,30,31,32,29,0,0,0.0,0,36,19
23,0,24,25,26,23,24,25,21,22,23,24,0,0,0.0,0,36,28
24,0,29,29,28,27,27,26,26,25,25,27,0,0,0.0,0,6,29
25,0,40,40,40,38,38,38,36,36,36,38,0,0,0.0,0,41,34
26,0,19,21,22,20,21,22,21,23,24,21,0,0,0.0,0,35,23
27,0,49,49,49,49,49,48,48,48,48,49,0,0,0.0,0,2,43
28,0,30,30,30,28,28,28,27,27,27,28,0,0,0.0,0,1,29
