AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
0,0,0.0,0.20454545,0.0,0.0,0.0,0.25,0.0,1.0,0.18181819,0,0,0,0.0,0,0,42
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,38,50
2,0,0.5652174,1.0,0.65217394,0.5942029,0.68115944,0.71014494,0.0,0.0,0.0,47,0,0,0.0,0,9,0
3,0,0.09677419,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,50,27
4,0,0.0,0.0,0.65957445,0.0,0.0,0.0,0.0,1.0,0.63829786,0,0,0,0.0,0,0,22
5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,26,50
6,0,0.0,0.9722222,0.5694444,0.0,0.6527778,0.8611111,0.0,1.0,0.9722222,47,0,0,0.0,0,0,6
7,0,0.81578946,0.0,0.0,1.0,0.0,0.0,0.56578946,0.0,0.0,0,0,0,0.0,0,50,9
8,0,0.0,0.2112676,0.29577464,0.0,0.07042254,0.47887325,0.0,1.0,0.0,5,0,0,0.0,0,0,46
9,0,0.0,0.0,0.65957445,0.0,0.0,0.0,0.0,1.0,0.63829786,0,0,0,0.0,0,0,22
10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,39,50
11,0,0.0,0.6721311,0.114754096,0.0,1.0,0.47540984,0.0,0.29508197,0.44262296,61,0,0,0.0,0,0,26
12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.9722222,0.0,0.0,0,0,0,0.0,0,50,23
13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,3,50
14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0,7,50
15,0,0.71428573,0.84415585,0.6103896,1.0,0.7922078,0.6363636,0.0,0.0,0.0,61,0,0,0.0,0,6,0
16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,38,50
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,47,50
18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,28,50
19,0,0.0,0.61764705,0.0,0.0,0.44117647,0.61764705,0.0,0.14705883,1.0,15,0,0,0.0,0,0,47
20,0,0.5584416,0.0,0.0,0.74025977,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,50,7
21,0,0.87341774,1.0,0.6329114,0.70886075,1.0,0.70886075,0.0,0.0,0.0,79,0,0,0.0,0,31,0
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,28,50
23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,19,50
24,0,0.81578946,0.0,0.0,1.0,0.0,0.0,0.56578946,0.0,0.0,0,0,0,0.0,0,50,9
25,0,1.0,0.8131868,0.83516484,0.95604396,0.8021978,0.7692308,0.0,0.0,0.0,73,0,0,0.0,0,19,0
26,0,0.0,1.0,0.18181819,0.0,0.0,0.79545456,0.0,0.0,0.045454547,0,0,0,0.0,0,0,40
27,0,0.0,1.0,0.3220339,0.0,0.88135594,0.86440676,0.0,0.89830506,0.3559322,52,0,0,0.0,0,0,16
28,0,0.93421054,0.0,0.0,0.81578946,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,50,10
29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,29,50
30,0,0.83516484,1.0,0.8131868,0.9010989,0.95604396,0.8021978,0.0,0.0,0.0,87,0,0,0.0,0,18,0
